=========

dobj(say-4, What-1)
mark(know-13, as-11)
nsubj(know-13, your-12)
csubj(shorten-23, know-13)
prepc_depending_on(know-13, on-15)
dep(use-19, what-16)
nsubj(use-19, you-17)
advmod(use-19, mostly-18)
pcomp(know-13, use-19)
dobj(use-19, it-20)
prep(use-19, for-21)
aux(shorten-23, can-22)
conj_but(go-3, shorten-23)
det(life-25, the-24)
dobj(shorten-23, life-25)
det(battery-28, the-27)
prep_of(life-25, battery-28)

=========

det(TORCH-2, The-1)
nsubj(phone-6, TORCH-2)
cop(phone-6, is-3)
poss(phone-6, my-4)
amod(phone-6, personal-5)
root(ROOT-0, phone-6)
nsubj(have-10, I-9)
conj_but(phone-6, have-10)
det(phone-13, a-11)
nn(phone-13, company-12)
dobj(have-10, phone-13)
advmod(well-15, as-14)
mwe(well-15, as-14)
dep(travel-17, well-15)
aux(travel-17, to-16)
dep(phone-13, travel-17)
prep(travel-17, with-18)
dep(phone-13, do-20)
conj_and(travel-17, do-20)
poss(job-22, my-21)
dobj(do-20, job-22)
dep(have-10, so-24)
nsubj(give-28, I-25)
aux(give-28, can-26)
neg(give-28, not-27)
dep(have-10, give-28)
det(accessment-31, a-29)
amod(accessment-31, fair-30)
dobj(give-28, accessment-31)
det(life-35, the-33)
nn(life-35, battery-34)
prep_of(accessment-31, life-35)

=========

nsubj(taken-3, I-1)
aux(taken-3, have-2)
root(ROOT-0, taken-3)
det(photos-5, some-4)
dobj(taken-3, photos-5)
dobj(taken-3, videos-7)
conj_and(photos-5, videos-7)
det(camera-10, the-9)
prep_with(photos-5, camera-10)
appos(camera-10, 5MP-12)
nsubj(PASS-17, they-15)
aux(PASS-17, would-16)
conj_and(taken-3, PASS-17)
advmod(PASS-17, well-22)
nsubj(phone-27, it-23)
cop(phone-27, is-24)
det(phone-27, a-25)
nn(phone-27, camera-26)
dep(PASS-17, phone-27)
mark(get-32, so-28)
nsubj(get-32, you-29)
nsubj(capture-44, you-29)
aux(get-32, can-30)
advmod(get-32, still-31)
advcl(phone-27, get-32)
det(photo-35, a-33)
amod(photo-35, decent-34)
dobj(get-32, photo-35)
prep_to(get-32, email-37)
advmod(away-39, right-38)
advmod(get-32, away-39)
mark(needed-41, if-40)
dep(away-39, needed-41)
advcl(phone-27, capture-44)
conj_or(get-32, capture-44)
det(moment-47, a-45)
amod(moment-47, special-46)
dobj(capture-44, moment-47)
mark(happens-50, as-48)
nsubj(happens-50, it-49)
advcl(capture-44, happens-50)

Sentence skipped: no PCFG fallback.
SENTENCE_SKIPPED_OR_UNPARSABLE
