=========

advmod(received-3, When-1)
parataxis(read-13, features-22)
dobj(features-22, 4G-23)
det(complaints-29, the-26)
advmod(complaints-29, most-27)
amod(complaints-29, common-28)
nsubj(being-30, complaints-29)
conj_but(capabilities-8, being-30)
complm(freezes-33, that-31)
nsubj(freezes-33, it-32)
ccomp(being-30, freezes-33)
predet(time-36, all-34)
det(time-36, the-35)
dobj(freezes-33, time-36)
det(battery-39, the-38)
nsubj(lasts-40, battery-39)
conj_and(capabilities-8, lasts-40)
advmod(little-42, very-41)
amod(time-43, little-42)
dobj(lasts-40, time-43)
quantmod(5-47, sometimes-45)
quantmod(5-47, only-46)
num(hours-48, 5-47)
appos(time-43, hours-48)

=========

advmod(regret-6, So-1)
nsubj(regret-6, I-3)
aux(regret-6, did-4)
neg(regret-6, not-5)
root(ROOT-0, regret-6)
xcomp(regret-6, getting-7)
det(model-10, this-8)
num(model-10, 9800-9)
dobj(getting-7, model-10)
nsubj(enjoyed-13, model-10)
rcmod(model-10, enjoyed-13)
advmod(better-15, far-14)
amod(reviews-16, better-15)
dobj(enjoyed-13, reviews-16)

=========

nsubj(bought-2, I-1)
root(ROOT-0, bought-2)
det(version-6, an-3)
amod(version-6, international-4)
amod(version-6, unlocked-5)
dobj(bought-2, version-6)
nsubj(inserted-9, I-8)
nsubj(used-15, I-8)
conj_and(bought-2, inserted-9)
det(card-13, a-10)
amod(card-13, foreign-11)
nn(card-13, SIM-12)
dobj(inserted-9, card-13)
conj_and(bought-2, used-15)
conj_and(inserted-9, used-15)
dobj(used-15, it-16)
nn(mode-19, wifi-18)
prep_on(used-15, mode-19)
advmod(traveling-22, only-20)
dep(traveling-22, while-21)
dep(bought-2, traveling-22)
advmod(traveling-22, abroad-23)
aux(avoid-25, to-24)
xcomp(traveling-22, avoid-25)
amod(charges-27, roaming-26)
dobj(avoid-25, charges-27)

=========

advmod(blocked-28, However-1)
det(moment-4, the-3)
nsubjpass(blocked-28, moment-4)
nsubjpass(worked-31, moment-4)
nsubj(returned-6, I-5)
nsubj(inserted-11, I-5)
nsubj(activated-16, I-5)
rcmod(moment-4, returned-6)
det(U.S.-9, the-8)
prep_to(returned-6, U.S.-9)
rcmod(moment-4, inserted-11)
conj_and(returned-6, inserted-11)
det(card-14, an-12)
nn(card-14, AT&T-13)
dobj(inserted-11, card-14)
rcmod(moment-4, activated-16)
conj_and(returned-6, activated-16)
det(plan-19, a-17)
nn(plan-19, data-18)
dobj(activated-16, plan-19)
prep_from(activated-16, them-21)
det(radio-25, the-23)
amod(radio-25, wifi-24)
appos(them-21, radio-25)
auxpass(blocked-28, was-26)
advmod(blocked-28, immediately-27)
root(ROOT-0, blocked-28)
conj_and(blocked-28, never-30)
neg(blocked-28, never-30)
conj_and(blocked-28, worked-31)
advmod(worked-31, again-32)

=========

advmod(connect-5, Even-1)
dep(connect-5, though-2)
nsubj(connect-5, it-3)
aux(connect-5, would-4)
advcl(let-17, connect-5)
poss(network-9, my-7)
nn(network-9, home-8)
prep_to(connect-5, network-9)
amod(hotspots-12, other-11)
prep_to(connect-5, hotspots-12)
conj_and(network-9, hotspots-12)
nsubj(let-17, it-14)
aux(let-17, would-15)
neg(let-17, not-16)
root(ROOT-0, let-17)
nsubj(browse-19, me-18)
nsubj(download-21, me-18)
ccomp(let-17, browse-19)
ccomp(let-17, download-21)
conj_nor(browse-19, download-21)
dobj(download-21, email-22)
prep_via(email-22, wifi-24)

=========

advmod(connect-6, Consistently-1)
nsubj(connect-6, a-2)
aux(connect-6, can-4)
neg(connect-6, not-5)
ccomp(come-10, connect-6)
csubj(come-10, connect-6)
dobj(connect-6, message-7)
aux(come-10, would-9)
root(ROOT-0, come-10)
prt(come-10, up-11)

=========

nsubj(drove-2, It-1)
root(ROOT-0, drove-2)
nsubj(crazy-4, me-3)
xcomp(drove-2, crazy-4)

=========

nsubj(spent-2, I-1)
nsubj(blogged-11, I-1)
root(ROOT-0, spent-2)
num(days-4, two-3)
tmod(spent-2, days-4)
xcomp(spent-2, trying-5)
aux(fix-7, to-6)
xcomp(trying-5, fix-7)
det(problem-9, the-8)
dobj(fix-7, problem-9)
conj_and(spent-2, blogged-11)
num(days-14, two-13)
prep_for(blogged-11, days-14)
det(forum-18, the-16)
amod(forum-18, blackberry-17)
prep_on(blogged-11, forum-18)
nsubj(impossible-23, it-21)
cop(impossible-23, was-22)
conj_but(spent-2, impossible-23)
aux(come-25, to-24)
xcomp(impossible-23, come-25)
prt(come-25, up-26)
det(solution-29, a-28)
prep_with(come-25, solution-29)

=========

poss(research-3, my-2)
prep_from(learned-6, research-3)
nsubj(learned-6, I-5)
root(ROOT-0, learned-6)
complm(experiencing-13, that-7)
amod(owners-11, many-8)
nn(owners-11, Torch-9)
nn(owners-11, 9800-10)
nsubj(experiencing-13, owners-11)
aux(experiencing-13, were-12)
ccomp(learned-6, experiencing-13)
advmod(problem-17, exactly-14)
det(problem-17, the-15)
amod(problem-17, same-16)
dobj(experiencing-13, problem-17)
nsubj(work-22, wifi-19)
aux(work-22, would-20)
neg(work-22, not-21)
parataxis(learned-6, work-22)

=========

nsubj(called-3, I-1)
nsubj(went-6, I-1)
xsubj(see-13, I-1)
advmod(called-3, even-2)
root(ROOT-0, called-3)
dobj(called-3, AT&T-4)
conj_and(called-3, went-6)
prep_to(went-6, one-8)
poss(stores-11, their-10)
prep_of(one-8, stores-11)
aux(see-13, to-12)
xcomp(went-6, see-13)
mark(help-17, if-14)
nsubj(help-17, they-15)
aux(help-17, could-16)
advcl(see-13, help-17)
dobj(help-17, me-18)
nsubj(useless-24, they-21)
cop(useless-24, were-22)
advmod(useless-24, absolutely-23)
conj_and(called-3, useless-24)

=========

poss(frustation-2, My-1)
nsubj(reached-3, frustation-2)
root(ROOT-0, reached-3)
det(point-5, a-4)
nsubj(were-6, point-5)
ccomp(reached-3, were-6)
nsubj(decided-8, I-7)
xsubj(return-10, I-7)
ccomp(were-6, decided-8)
aux(return-10, to-9)
xcomp(decided-8, return-10)
det(product-12, the-11)
dobj(return-10, product-12)
poss(vendor-15, my-14)
prep_to(return-10, vendor-15)
mark(was-19, since-17)
nsubj(was-19, I-18)
advcl(return-10, was-19)
advmod(was-19, still-20)
det(window-26, the-22)
num(window-26, 30-23)
nn(window-26, day-24)
nn(window-26, return-25)
prep_within(was-19, window-26)

=========

nsubj(got-2, I-1)
root(ROOT-0, got-2)
det(refund-5, a-3)
amod(refund-5, full-4)
dobj(got-2, refund-5)
prep_for(got-2, it-7)

=========

root(ROOT-0, End-1)
prep_of(End-1, story-3)

