=========

nsubj(need-2, I-1)
det(camera-11, the-10)
npadvmod(more-14, camera-11)
det(bit-13, a-12)
dep(camera-11, bit-13)
advmod(used-9, more-14)
conj_and(try-3, understand-16)
det(settings-18, the-17)
dobj(understand-16, settings-18)
advmod(understand-16, better-19)

=========

dep(error-3, Probably-1)
nn(error-3, user-2)
root(ROOT-0, error-3)

