=========

amod(phone-3, Purchased-1)
nn(!!!-5, WOWWWWWWW-4)
prep_like(was-2, !!!-5)
advmod(fighting-12, Now-6)
dep(fighting-12, while-7)
predet(friends-10, all-8)
poss(friends-10, my-9)
nsubj(fighting-12, friends-10)
aux(fighting-12, are-11)
ccomp(was-2, fighting-12)
prep_over(fighting-12, outlets-14)
nsubj(ama-17, i-16)
root(ROOT-0, ama-17)
auxpass(chillen-19, be-18)
dep(ama-17, chillen-19)

=========

det(thing-2, Another-1)
root(ROOT-0, thing-2)

=========

det(phone-2, This-1)
nsubj(fast-4, phone-2)
cop(fast-4, is-3)
root(ROOT-0, fast-4)

=========

root(ROOT-0, Like-1)
nn(Norris-3, Chuck-2)
poss(wife-5, Norris-3)
pobj(Like-1, wife-5)
poss(PMS-8, her-7)
prep_on(wife-5, PMS-8)
partmod(PMS-8, coming-9)
prep_at(coming-9, you-11)
advmod(coming-9, fast-12)

=========

nsubj(comparison-7, it-1)
cop(comparison-7, is-2)
advmod(fast-4, so-3)
advmod(comparison-7, fast-4)
det(comparison-7, a-5)
amod(comparison-7, good-6)
ccomp(turtle-12, comparison-7)
aux(turtle-12, would-9)
cop(turtle-12, be-10)
det(turtle-12, the-11)
root(ROOT-0, turtle-12)
nn(Vs.-15, Comcast-14)
prep_from(turtle-12, Vs.-15)
det(guy-18, the-16)
nn(guy-18, Allstate-17)
nsubj(turtle-12, guy-18)
det(race-22, a-20)
amod(race-22, 1ft-21)
prep_in(guy-18, race-22)

=========

det(screen-3, The-1)
nn(screen-3, touch-2)
nsubj(responsive-6, screen-3)
cop(responsive-6, is-4)
advmod(responsive-6, very-5)
root(ROOT-0, responsive-6)
amod(percent-9, ninety-8)
nsubj(open-13, percent-9)
det(apps-12, the-11)
prep_of(percent-9, apps-12)
conj_and(responsive-6, open-13)
det(second-16, a-15)
prep_within(open-13, second-16)

=========

nsubj(Good-5, it-1)
cop(Good-5, is-2)
advmod(Good-5, almost-3)
advmod(Good-5, as-4)
root(ROOT-0, Good-5)
poss(Skyrocket-12, my-7)
nn(Skyrocket-12, Samsung-8)
nn(Skyrocket-12, Galaxy-9)
nn(Skyrocket-12, S-10)
nn(Skyrocket-12, II-11)
prep_as(Good-5, Skyrocket-12)
advmod(Good-5, but-13)
nsubj(going-17, i-15)
xsubj(stop-19, i-15)
aux(going-17, am-16)
parataxis(Good-5, going-17)
aux(stop-19, to-18)
xcomp(going-17, stop-19)
xcomp(stop-19, talking-20)
prep_about(talking-20, it-22)
mark(starting-27, because-24)
nsubj(starting-27, i-25)
xsubj(tear-29, i-25)
aux(starting-27, am-26)
advcl(stop-19, starting-27)
aux(tear-29, to-28)
xcomp(starting-27, tear-29)
prt(tear-29, up-30)

=========

nsubj(miss-2, I-1)
root(ROOT-0, miss-2)
poss(skyrocket-4, my-3)
dobj(miss-2, skyrocket-4)

=========

nsubj(dec-2, R.I.P.-1)
root(ROOT-0, dec-2)
dobj(dec-2, 3-3)
appos(3-3, Jan-5)
num(Jan-5, 1-6)

=========

amod(thing-2, Last-1)
root(ROOT-0, thing-2)

=========

det(camera-2, The-1)
nsubj(good-5, camera-2)
cop(good-5, is-3)
advmod(good-5, as-4)
root(ROOT-0, good-5)
prep_as(good-5, one-7)
det($-10, those-9)
prep_of(one-7, $-10)
dobj(purchase-15, $-10)
number($-10, 150.00-11)
number($-10, cameras-12)
nsubj(purchase-15, you-13)
aux(purchase-15, could-14)
rcmod($-10, purchase-15)
advmod(purchase-15, here-16)
prep_with(do-24, camera360-20)
nsubj(do-24, you-22)
aux(do-24, could-23)
conj_and(good-5, do-24)
predet(enhancements-27, all-25)
poss(enhancements-27, your-26)
dobj(do-24, enhancements-27)

