=========

nsubj(photographer-5, I-1)
nn(speeds-19, shutter-18)
prep_for(optimized-15, speeds-19)
conj_or(kind-6, depth-21)
conj_or(optimized-15, depth-21)
prep_of(depth-21, field-23)
det(settings-29, the-26)
amod(settings-29, sharpest-27)
nn(settings-29, resolution-28)
dobj(specify-4, settings-29)
conj_or(kind-6, settings-29)
det(lens-33, the-31)
amod(lens-33, appropriate-32)
prep_of(settings-29, lens-33)

=========

nsubj(pick-3, You-1)
aux(pick-3, can-2)
root(ROOT-0, pick-3)
prt(pick-3, up-4)
amod(lenses-7, used-5)
nn(lenses-7, Pentax-6)
dobj(pick-3, lenses-7)
advmod(pick-3, all-8)
dep(pick-3, over-9)
prep_for(pick-3, next-11)
nn(glass-16, nothing-13)
amod(glass-16, excellent-15)
prep_to(next-11, glass-16)
prep_on(glass-16, par-18)
det(manufacturer-21, any-20)
prep_with(par-18, manufacturer-21)

=========

nn(glass-2, Pentax-1)
nsubjpass(known-4, glass-2)
auxpass(known-4, is-3)
root(ROOT-0, known-4)
poss(saturation-8, its-6)
amod(saturation-8, color-7)
prep_for(known-4, saturation-8)
prep_for(known-4, contrast-10)
conj_and(saturation-8, contrast-10)
det(camera-14, this-13)
nsubj(shows-15, camera-14)
conj_and(known-4, shows-15)
dobj(shows-15, it-16)
prt(shows-15, off-17)

=========

nsubj(want-4, I-1)
xsubj(repeat-7, I-1)
aux(want-4, do-2)
neg(want-4, not-3)
root(ROOT-0, want-4)
aux(repeat-7, to-5)
advmod(repeat-7, just-6)
xcomp(want-4, repeat-7)
nsubjpass(said-12, what-8)
auxpass(said-12, 's-9)
advmod(said-12, already-10)
auxpass(said-12, been-11)
ccomp(repeat-7, said-12)
nsubj(have-17, I-15)
xsubj(say-19, I-15)
advmod(have-17, also-16)
conj_but(want-4, have-17)
aux(say-19, to-18)
xcomp(have-17, say-19)
nsubj(camera-26, this-21)
cop(camera-26, is-22)
det(photographer-24, a-23)
poss(camera-26, photographer-24)
parataxis(want-4, camera-26)

=========

nsubj(does-2, It-1)
root(ROOT-0, does-2)
dobj(does-2, everything-3)
nsubj(want-6, you-4)
aux(want-6, did-5)
rcmod(everything-3, want-6)
det(camera-8, a-7)
dobj(want-6, camera-8)
aux(do-10, to-9)
infmod(camera-8, do-10)
dep(then-13, and-12)
dep(do-10, then-13)
dep(then-13, some-14)

=========

det(Program-4, The-1)
nn(Program-4, Hyper-3)
nsubj(cool-8, Program-4)
cop(cool-8, is-6)
advmod(cool-8, unbelievably-7)
root(ROOT-0, cool-8)
nsubj(touch-11, you-10)
ccomp(cool-8, touch-11)
parataxis(cool-8, touch-11)
det(shutter-13, the-12)
dobj(touch-11, shutter-13)
nsubj(sets-16, it-15)
dep(cool-8, sets-16)
det(exposure-18, the-17)
dobj(sets-16, exposure-18)
advmod(cool-8, then-20)
nsubj(roll-22, you-21)
ccomp(cool-8, roll-22)
nsubj(adjust-25, dials-23)
aux(adjust-25, to-24)
xcomp(roll-22, adjust-25)
prep(adjust-25, from-26)
pobj(from-26, there-27)

=========

root(ROOT-0, Absolutely-1)
acomp(Absolutely-1, transparent-2)

=========

nsubj(customize-3, You-1)
aux(customize-3, can-2)
root(ROOT-0, customize-3)
det(functions-5, the-4)
dobj(customize-3, functions-5)
det(wheels-8, the-7)
prep_of(functions-5, wheels-8)
det(level-13, a-10)
advmod(convenient-12, ridiculously-11)
amod(level-13, convenient-12)
prep_to(customize-3, level-13)
nsubj(camera-19, this-15)
aux(camera-19, can-16)
cop(camera-19, be-17)
det(camera-19, any-18)
parataxis(customize-3, camera-19)
dobj(want-21, camera-19)
nsubj(want-21, you-20)
rcmod(camera-19, want-21)
nsubj(be-24, it-22)
aux(be-24, to-23)
xcomp(want-21, be-24)

=========

nsubj(jewel-9, All-1)
prep_in(All-1, all-3)
appos(all-3, this-5)
cop(jewel-9, is-6)
det(jewel-9, a-7)
amod(jewel-9, real-8)
root(ROOT-0, jewel-9)
det(king-13, the-12)
conj_and(jewel-9, king-13)
prep_of(king-13, bang-for-the-buck-15)

