=========

poss(experience-2, My-1)
prep(turning-15, on-17)
advmod(changing-20, when-19)
dep(occurs-13, changing-20)
conj_and(turning-15, changing-20)
dobj(changing-20, channels-21)
quantmod(few-25, only-23)
quantmod(few-25, a-24)
num(seconds-26, few-25)
dep(channels-21, seconds-26)
nsubj(seems-30, it-29)
conj_but(delay-11, seems-30)
nsubj(occurs-13, seems-30)
advmod(seems-30, long-31)
prepc_compared_with(seems-30, with-33)
det(reactions-36, the-34)
amod(reactions-36, instantaneous-35)
pobj(seems-30, reactions-36)
poss(set-41, my-38)
amod(set-41, old-39)
amod(set-41, analog-40)
prep_of(reactions-36, set-41)

=========

nsubjpass(used-5, I-2)
aux(used-5, will-3)
auxpass(used-5, get-4)
root(ROOT-0, used-5)
prep_to(used-5, that-7)
det(TV-11, the-10)
dobj(returned-13, TV-11)
nsubj(slower-16, TV-11)
nsubj(returned-13, I-12)
rcmod(TV-11, returned-13)
cop(slower-16, was-14)
advmod(slower-16, even-15)
conj_and(used-5, slower-16)
det(respect-19, this-18)
prep_in(slower-16, respect-19)

=========

advmod(happy-5, Overall-1)
nsubj(happy-5, I-3)
nsubj(consider-10, I-3)
cop(happy-5, am-4)
root(ROOT-0, happy-5)
det(purchase-8, the-7)
prep_with(happy-5, purchase-8)
conj_and(happy-5, consider-10)
nsubj(buy-14, it-11)
det(buy-14, a-12)
amod(buy-14, good-13)
xcomp(consider-10, buy-14)
amod(buy-14, relative-15)
prep_to(relative-15, prices-17)
amod(sets-21, other-19)
amod(sets-21, 40-inch-20)
prep_of(prices-17, sets-21)

