=========

dep(let-4, First-1)
aux(put-24, can-23)
rcmod(borders-21, put-24)
det(pics-27, the-26)
prep_on(put-24, pics-27)
det(modes-32, the-29)
amod(modes-32, different-30)
amod(modes-32, kodachrome-31)
prep_on(put-24, modes-32)
conj_and(pics-27, modes-32)

=========

det(software-2, The-1)
root(ROOT-0, software-2)
nsubj(frustrated-7, I-4)
dep(frustrated-7, got-5)
advmod(frustrated-7, extremely-6)
dep(software-2, frustrated-7)
mark(installing-9, while-8)
advcl(frustrated-7, installing-9)
dobj(installing-9, it-10)
mark(realize-15, because-11)
nsubj(realize-15, I-12)
aux(realize-15, did-13)
neg(realize-15, not-14)
advcl(installing-9, realize-15)
complm(take-19, that-16)
nsubj(take-19, it-17)
aux(take-19, would-18)
ccomp(realize-15, take-19)
amod(hours-21, several-20)
dobj(take-19, hours-21)
det(pictures-24, the-23)
prep_for(hours-21, pictures-24)
aux(find-26, to-25)
xcomp(take-19, find-26)
poss(way-28, their-27)
dobj(find-26, way-28)
prep_to(find-26, facebook-30)
advmod(thought-34, subsequently-33)
advcl(frustrated-7, thought-34)
conj_and(installing-9, thought-34)
complm(work-39, that-35)
nsubj(work-39, feature-36)
aux(work-39, did-37)
neg(work-39, not-38)
ccomp(thought-34, work-39)

=========

num(thing-2, One-1)
nsubj(is-6, thing-2)
nsubj(did-4, I-3)
rcmod(thing-2, did-4)
dobj(did-4, notice-5)
root(ROOT-0, is-6)
complm(is-15, that-7)
advmod(using-11, when-8)
nsubj(using-11, you-9)
aux(using-11, are-10)
advcl(is-15, using-11)
det(software-13, the-12)
dobj(using-11, software-13)
expl(is-15, there-14)
ccomp(is-6, is-15)
advmod(is-15, also-16)
det(button-19, an-17)
amod(button-19, email-18)
nsubj(is-15, button-19)
det(toolbar-22, the-21)
prep_on(button-19, toolbar-22)

=========

nsubj(tried-2, We-1)
xsubj(use-4, We-1)
root(ROOT-0, tried-2)
aux(use-4, to-3)
xcomp(tried-2, use-4)
dobj(use-4, this-5)
nsubj(kept-8, it-7)
conj_and(tried-2, kept-8)
xcomp(kept-8, saying-9)
det(server-12, the-10)
nn(server-12, Kodak-11)
nsubj(busy-14, server-12)
cop(busy-14, was-13)
ccomp(saying-9, busy-14)
dep(tried-2, so-16)
nsubj(know-20, I-17)
aux(know-20, do-18)
neg(know-20, not-19)
ccomp(tried-2, know-20)
mark(thing-26, if-21)
nsubj(thing-26, it-22)
cop(thing-26, was-23)
det(thing-26, a-24)
amod(thing-26, one-time-25)
advcl(know-20, thing-26)
advcl(know-20, not-28)
conj_or(thing-26, not-28)

=========

nsubj(figured-5, I-1)
aux(figured-5, have-2)
advmod(figured-5, still-3)
neg(figured-5, not-4)
ccomp(had-19, figured-5)
advmod(lower-9, how-7)
aux(lower-9, to-8)
prepc_out(figured-5, lower-9)
det(pixels-11, the-10)
dobj(lower-9, pixels-11)
det(group-14, a-13)
prep_on(lower-9, group-14)
prep_of(group-14, photos-16)
nsubj(had-19, we-18)
xsubj(do-21, we-18)
xsubj(attach-35, we-18)
root(ROOT-0, had-19)
aux(do-21, to-20)
xcomp(had-19, do-21)
iobj(do-21, it-22)
dobj(do-21, one-23)
prep_by(do-21, one-25)
xcomp(had-19, place-27)
conj_and(do-21, place-27)
dobj(place-27, them-28)
det(desktop-31, the-30)
prep_on(place-27, desktop-31)
prep_in(desktop-31, order-33)
aux(attach-35, to-34)
xcomp(had-19, attach-35)
det(email-38, an-37)
prep_to(attach-35, email-38)
advmod(knows-42, so-39)
dep(knows-42, if-40)
nsubj(knows-42, anyone-41)
dep(attach-35, knows-42)
det(way-45, an-43)
amod(way-45, easier-44)
dobj(knows-42, way-45)
dep(tell-47, please-46)
dep(knows-42, tell-47)
dobj(tell-47, me-48)

=========

nsubj(have-4, I-1)
aux(have-4, do-2)
neg(have-4, not-3)
root(ROOT-0, have-4)
det(function-6, that-5)
dobj(have-4, function-6)
poss(email-9, my-8)
prep_within(have-4, email-9)
advmod(far-11, as-10)
advmod(have-4, far-11)
mark(tell-15, as-12)
nsubj(tell-15, I-13)
aux(tell-15, can-14)
ccomp(far-11, tell-15)

=========

det(camera-2, The-1)
nsubj(size-6, camera-2)
cop(size-6, is-3)
det(size-6, the-4)
amod(size-6, perfect-5)
root(ROOT-0, size-6)
det(camera-10, a-8)
amod(camera-10, good-9)
prep_for(size-6, camera-10)

=========

root(ROOT-0, Not-1)
advmod(big-3, too-2)
dep(Not-1, big-3)
neg(small-7, not-5)
advmod(small-7, too-6)
dep(Not-1, small-7)
conj_and(big-3, small-7)

=========

mark(said-4, As-1)
nsubj(said-4, others-2)
aux(said-4, have-3)
advcl(has-6, said-4)
nsubj(has-6, it-5)
root(ROOT-0, has-6)
det(heft-10, a-7)
amod(heft-10, nice-8)
dobj(has-6, heft-10)
prep_to(heft-10, it-13)

=========

poss(husband-2, My-1)
nsubj(likes-3, husband-2)
root(ROOT-0, likes-3)
dobj(likes-3, it-4)
advmod(likes-3, too-5)

=========

nsubj(purchased-3, I-1)
nsubj(returned-9, I-1)
aux(purchased-3, had-2)
root(ROOT-0, purchased-3)
det(SLR-7, an-4)
amod(SLR-7, expensive-5)
nn(SLR-7, Sony-6)
dobj(purchased-3, SLR-7)
conj_and(purchased-3, returned-9)
dobj(returned-9, it-10)
det(day-13, the-11)
amod(day-13, next-12)
tmod(returned-9, day-13)
mark(overwhelmed-18, because-14)
nsubjpass(overwhelmed-18, I-15)
auxpass(overwhelmed-18, was-16)
advmod(overwhelmed-18, just-17)
advcl(returned-9, overwhelmed-18)
prep_with(overwhelmed-18, it-20)

=========

nsubj(camera-6, This-1)
cop(camera-6, is-2)
det(camera-6, a-3)
amod(camera-6, great-4)
amod(camera-6, little-5)
root(ROOT-0, camera-6)
det(beginner-9, a-8)
prep_for(camera-6, beginner-9)
partmod(beginner-9, based-10)
det(pricetag-13, the-12)
prep_on(based-10, pricetag-13)

=========

nsubj(purchased-3, I-1)
advmod(purchased-3, also-2)
root(ROOT-0, purchased-3)
det(warranty-5, a-4)
dobj(purchased-3, warranty-5)
partmod(warranty-5, rated-6)
dep(rated-6, highly-7)
prep_on(highly-7, amazon-9)

=========

nsubj(bought-2, I-1)
root(ROOT-0, bought-2)
det(camera-4, this-3)
dobj(bought-2, camera-4)
det(trip-7, a-6)
prep_for(bought-2, trip-7)
prep_to(bought-2, Italy-9)
advmod(wait-15, now-11)
nsubj(wait-15, I-12)
aux(wait-15, can-13)
neg(wait-15, not-14)
conj_and(bought-2, wait-15)

=========

nsubj(spent-2, I-1)
root(ROOT-0, spent-2)
quantmod(2-4, about-3)
num(hours-7, 2-4)
conj_or(2-4, 3-6)
num(hours-7, 3-6)
dobj(spent-2, hours-7)
det(manual-10, the-9)
prep_with(spent-2, manual-10)
det(camera-13, the-12)
prep_with(spent-2, camera-13)
conj_and(manual-10, camera-13)
nsubj(feel-16, I-15)
conj_and(spent-2, feel-16)
advmod(confident-18, fully-17)
acomp(feel-16, confident-18)
det(mode-22, the-20)
nn(mode-22, burst-21)
prep_with(feel-16, mode-22)
det(tools-26, the-25)
prep_with(feel-16, tools-26)
conj_and(mode-22, tools-26)

=========

num(practice-3, Need-1)
amod(practice-3, more-2)
root(ROOT-0, practice-3)
dep(practice-3, but-5)
nsubj(tell-9, I-6)
aux(tell-9, can-7)
advmod(tell-9, already-8)
dep(practice-3, tell-9)
complm(going-17, that-10)
det(quality-12, the-11)
nsubj(going-17, quality-12)
xsubj(great-20, quality-12)
det(pictures-15, the-14)
prep_of(quality-12, pictures-15)
aux(going-17, is-16)
ccomp(tell-9, going-17)
aux(great-20, to-18)
cop(great-20, be-19)
xcomp(going-17, great-20)

=========

nsubj(glad-4, I-1)
cop(glad-4, am-2)
advmod(glad-4, so-3)
root(ROOT-0, glad-4)
nsubj(spend-8, I-5)
aux(spend-8, did-6)
neg(spend-8, not-7)
ccomp(glad-4, spend-8)
det($-10, the-9)
dobj(spend-8, $-10)
num($-10, 25-11)
amod(cameras-14, didigital-13)
prep_on($-10, cameras-14)
prep_for(spend-8, dummies-16)
amod(edition-19, senior-18)
appos(dummies-16, edition-19)

=========

aux(viewed-3, Have-1)
neg(viewed-3, not-2)
dep(took-7, viewed-3)
det(videos-5, the-4)
dobj(viewed-3, videos-5)
nsubj(took-7, i-6)
root(ROOT-0, took-7)
advmod(took-7, yet-8)
mark(erased-12, because-9)
nsubj(erased-12, i-10)
advmod(erased-12, accidently-11)
advcl(took-7, erased-12)
dobj(erased-12, them-13)

=========

nsubj(received-2, I-1)
root(ROOT-0, received-2)
det(camera-4, the-3)
dobj(received-2, camera-4)
det(frame-10, the-6)
amod(frame-10, promised-7)
amod(frame-10, 2-day-8)
nn(frame-10, time-9)
prep_in(received-2, frame-10)

=========

dep(right-11, Oh-1)
dep(Oh-1, by-3)
det(way-5, the-4)
pobj(by-3, way-5)
det(people-9, the-7)
amod(people-9, other-8)
nsubj(right-11, people-9)
cop(right-11, were-10)
root(ROOT-0, right-11)

=========

det(strap-3, The-1)
nn(strap-3, camera-2)
nsubj(horrible-5, strap-3)
cop(horrible-5, is-4)
root(ROOT-0, horrible-5)

=========

nsubj(have-3, I-1)
xsubj(buy-5, I-1)
aux(have-3, will-2)
root(ROOT-0, have-3)
aux(buy-5, to-4)
xcomp(have-3, buy-5)
det(one-7, another-6)
dobj(buy-5, one-7)
advmod(1\/4-20, even-10)
prep_with(even-10, that-12)
det(warranty-15, the-14)
prep_with(even-10, warranty-15)
conj_and(that-12, warranty-15)
nsubj(1\/4-20, it-16)
aux(1\/4-20, will-17)
cop(1\/4-20, be-18)
quantmod(1\/4-20, about-19)
conj_but(have-3, 1\/4-20)
dobj(planning-25, what-22)
nsubj(planning-25, I-23)
aux(planning-25, was-24)
prepc_of(1\/4-20, planning-25)
aux(spend-27, to-26)
xcomp(planning-25, spend-27)

=========

nsubj(Purchased-5, UPDATE-1)
dep(UPDATE-1, 5\/29\/2012-3)
root(ROOT-0, Purchased-5)
det(case-12, a-6)
nn(case-12, CaseLogic-7)
nn(case-12, DCB-304-8)
nn(case-12, High\/Fixed-9)
nn(case-12, Zoom-10)
nn(case-12, camera-11)
dobj(Purchased-5, case-12)
det(camera-15, this-14)
prep_for(case-12, camera-15)
nsubj(fits-18, it-17)
conj_and(Purchased-5, fits-18)
advmod(fits-18, perfectly-19)

=========

root(ROOT-0, Like-1)
det(glove-3, a-2)
pobj(Like-1, glove-3)

=========

root(ROOT-0, Buy-1)
dobj(Buy-1, it-2)

