=========

prepc_before(take-12, reviewing-2)
amod(camera-11, ruggedized-9)
dobj(need-4, camera-11)
advmod(camera-15, just-13)
det(camera-15, a-14)
dep(camera-11, camera-15)
nsubjpass(expected-19, camera-15)
aux(expected-19, can-17)
auxpass(expected-19, be-18)
rcmod(camera-15, expected-19)
aux(last-21, to-20)
xcomp(expected-19, last-21)
det(years-24, a-22)
amod(years-24, few-23)
dobj(last-21, years-24)
amod(use-27, normal-26)
prep_in(years-24, use-27)

=========

cc(case-10, But-1)
csubj(case-10, based-2)
poss(experience-5, my-4)
prep_on(based-2, experience-5)
cop(case-10, is-6)
advmod(case-10, clearly-7)
neg(case-10, not-8)
det(case-10, the-9)
root(ROOT-0, case-10)
amod(DMCs-15, current-12)
nn(DMCs-15, generation-13)
nn(DMCs-15, Panasonic-14)
prep_for(case-10, DMCs-15)

