=========

nsubj(installing-5, I-1)
nn(promise-14, delivery-13)
dobj(believe-11, promise-14)
prep_of(promise-14, today-16)

=========

nsubj(elected-3, I-1)
xsubj(purchase-5, I-1)
advmod(elected-3, also-2)
root(ROOT-0, elected-3)
aux(purchase-5, to-4)
xcomp(elected-3, purchase-5)
det(year-8, the-6)
num(year-8, four-7)
dobj(purchase-5, year-8)
partmod(year-8, extended-9)
dobj(extended-9, warranty-10)
prep_for(warranty-10, $-12)
num($-12, 99-13)

=========

root(ROOT-0, xx-1)

=========

nsubj(do-5, I-1)
advmod(do-5, usually-2)
aux(do-5, do-3)
neg(do-5, not-4)
root(ROOT-0, do-5)
dobj(do-5, this-6)
mark(had-11, because-7)
nsubj(had-11, I-8)
aux(had-11, have-9)
advmod(had-11, rarely-10)
advcl(do-5, had-11)
det(issues-13, any-12)
dobj(had-11, issues-13)
expl(is-17, there-16)
conj_but(do-5, is-17)
advmod(is-17, always-18)
det(possibility-20, the-19)
nsubj(is-17, possibility-20)
det(price-24, the-23)
nsubj(reasonable-30, price-24)
det(warranty-27, the-26)
prep_of(price-24, warranty-27)
cop(reasonable-30, was-28)
advmod(reasonable-30, very-29)
conj_but(do-5, reasonable-30)
conj_and(is-17, reasonable-30)

=========

prep_in(sealed-12, fact-2)
det(provision-10, the-4)
advmod(service-8, in-6)
nn(service-8, home-7)
nn(provision-10, service-8)
nsubj(sealed-12, provision-10)
advmod(provision-10, really-11)
root(ROOT-0, sealed-12)
det(deal-14, the-13)
dobj(sealed-12, deal-14)

=========

root(ROOT-0, Yes-1)

=========

nsubj(happy-4, I-1)
cop(happy-4, am-2)
advmod(happy-4, very-3)
root(ROOT-0, happy-4)

=========

nsubj(let-3, I-1)
aux(let-3, 'll-2)
root(ROOT-0, let-3)
nsubj(know-5, you-4)
ccomp(let-3, know-5)
nsubj(transpires-7, what-6)
ccomp(know-5, transpires-7)
mark(is-10, after-8)
nsubj(is-10, it-9)
advcl(transpires-7, is-10)
dep(is-10, up-11)
dep(is-10, running-13)
conj_and(up-11, running-13)
tmod(running-13, tomorrow-14)

=========

partmod(functions-7, \*\*\*\*\*-1)
nsubj(2013-0502Well-3, Update-2)
xcomp(\*\*\*\*\*-1, 2013-0502Well-3)
det(TV-6, the-5)
nsubj(functions-7, TV-6)
root(ROOT-0, functions-7)
det(TV-12, every-9)
amod(TV-12, other-10)
nn(TV-12, Sony-11)
prep_like(functions-7, TV-12)
dobj(had-15, TV-12)
nsubj(had-15, I-13)
aux(had-15, have-14)
rcmod(TV-12, had-15)
advmod(functions-7, flawlessly-17)

=========

det(guy-3, The-1)
nn(guy-3, cable-2)
nsubj(said-4, guy-3)
root(ROOT-0, said-4)
nsubj(get-7, I-5)
aux(get-7, could-6)
ccomp(said-4, get-7)
advmod(better-9, much-8)
amod(performance-10, better-9)
dobj(get-7, performance-10)
xcomp(get-7, using-11)
det(cable-14, an-12)
nn(cable-14, HDMI-13)
dobj(using-11, cable-14)
det(spaghetti-19, the-17)
dobj(using-11, spaghetti-19)
conj_negcc(cable-14, spaghetti-19)

=========

nsubj(consider-3, I-1)
aux(consider-3, might-2)
root(ROOT-0, consider-3)
dobj(consider-3, that-4)
det(future-7, the-6)
prep_for(that-4, future-7)
nsubj(imagine-13, I-10)
aux(imagine-13, can-11)
neg(imagine-13, not-12)
conj_but(consider-3, imagine-13)
det(picture-15, the-14)
nsubj(better-21, picture-15)
det(audio-18, the-17)
conj_or(picture-15, audio-18)
nsubj(better-21, audio-18)
cop(better-21, being-19)
advmod(better-21, any-20)
dep(imagine-13, better-21)
mark(is-24, than-22)
nsubj(is-24, it-23)
ccomp(better-21, is-24)

=========

nsubj(discovered-3, I-1)
aux(discovered-3, have-2)
root(ROOT-0, discovered-3)
num(annoyance-5, one-4)
dobj(discovered-3, annoyance-5)
advmod(discovered-3, though-6)

=========

mark(TV-6, Since-1)
nsubj(TV-6, this-2)
cop(TV-6, is-3)
det(TV-6, an-4)
nn(TV-6, Internet-5)
advcl(is-29, TV-6)
partmod(TV-6, meaning-8)
xcomp(TV-6, meaning-8)
nsubj(network-11, I-9)
aux(network-11, can-10)
ccomp(meaning-8, network-11)
dobj(network-11, it-12)
mark(choose-15, if-13)
nsubj(choose-15, I-14)
xsubj(do-17, I-14)
advcl(meaning-8, choose-15)
aux(do-17, to-16)
xcomp(choose-15, do-17)
advmod(do-17, so-18)
dobj(have-22, which-20)
nsubj(have-22, I-21)
parataxis(is-29, have-22)
dep(yet-25, not-23)
advmod(have-22, yet-25)
expl(is-29, there-28)
root(ROOT-0, is-29)
det(delay-31, a-30)
nsubj(is-29, delay-31)
prepc_in(delay-31, booting-33)
prt(booting-33, up-34)
det(time-36, each-35)
dobj(booting-33, time-36)
det(device-38, the-37)
nsubjpass(powered-40, device-38)
auxpass(powered-40, is-39)
rcmod(time-36, powered-40)
prt(powered-40, up-41)

=========

nsubj(delay-5, It-1)
cop(delay-5, 's-2)
neg(delay-5, not-3)
det(delay-5, a-4)
root(ROOT-0, delay-5)
conj_but(delay-5, delay-5')
prepc_like(delay-5, booting-7)
prt(booting-7, up-8)
det(PC-10, a-9)
dobj(booting-7, PC-10)
advmod(delay-5, probably-13)
num(seconds-16, 15-20-15)
prep_about(delay-5', seconds-16)
advmod(seconds-16, certainly-18)
dep(seconds-16, perceptible-19)

=========

expl(are-2, There-1)
root(ROOT-0, are-2)
advmod(are-2, also-3)
det(messages-6, some-4)
nn(messages-6, status-5)
nsubj(are-2, messages-6)
nsubj(appear-8, messages-6)
rcmod(messages-6, appear-8)
det(process-11, this-10)
prep_during(appear-8, process-11)
nsubj(disappear-15, they-14)
conj_but(are-2, disappear-15)
advmod(complete-19, when-16)
nsubj(complete-19, it-17)
cop(complete-19, is-18)
advcl(disappear-15, complete-19)

=========

nsubj(called-2, I-1)
root(ROOT-0, called-2)
nn(Support-5, Sony-3)
nn(Support-5, Tech-4)
nsubj(see-7, Support-5)
aux(see-7, to-6)
xcomp(called-2, see-7)
mark(was-10, if-8)
expl(was-10, there-9)
advcl(see-7, was-10)
det(way-12, any-11)
nsubj(was-10, way-12)
aux(eliminate-14, to-13)
infmod(way-12, eliminate-14)
det(messages-16, those-15)
dobj(eliminate-14, messages-16)
det(answer-20, the-19)
nsubj(No.-23, answer-20)
cop(No.-23, was-21)
conj_and(called-2, No.-23)
nsubj(able-27, I-25)
cop(able-27, was-26)
rcmod(No.-23, able-27)
aux(adjust-29, to-28)
xcomp(able-27, adjust-29)
det(size-32, the-30)
amod(size-32, font-31)
dobj(adjust-29, size-32)
det(messages-35, the-34)
prep_of(size-32, messages-35)
mark(obscured-39, so-36)
nsubj(obscured-39, they-37)
advmod(obscured-39, only-38)
advcl(able-27, obscured-39)
det(portion-42, a-40)
amod(portion-42, minuscule-41)
dobj(obscured-39, portion-42)
det(screen-45, the-44)
prep_of(portion-42, screen-45)

=========

amod(line-2, Bottom-1)
root(ROOT-0, line-2)
nsubj(buy-6, I-4)
aux(buy-6, would-5)
dep(line-2, buy-6)
dobj(buy-6, it-7)
advmod(buy-6, again-8)

