=========

nsubj(repeat-4, I-1)
aux(been-16, would-14)
aux(been-16, have-15)
ccomp(make-11, been-16)
aux(contact-18, to-17)
xcomp(been-16, contact-18)
dobj(contact-18, me-19)
xcomp(been-16, ask-21)
conj_and(contact-18, ask-21)
dobj(ask-21, me-22)
advmod(used-25, how-23)
nsubj(used-25, I-24)
dep(ask-21, used-25)
det(camera-27, the-26)
dobj(used-25, camera-27)
mark(determine-31, in-28)
dep(determine-31, order-29)
aux(determine-31, to-30)
purpcl(used-25, determine-31)
advmod(got-35, how-32)
det(scratches-34, the-33)
nsubj(got-35, scratches-34)
ccomp(determine-31, got-35)
advmod(got-35, there-36)

=========

nsubj(contacted-3, They-1)
neg(contacted-3, never-2)
root(ROOT-0, contacted-3)
nsubj(send-8, me-4)
dep(send-8, other-5)
mark(send-8, than-6)
aux(send-8, to-7)
xcomp(contacted-3, send-8)
det(estimate-11, a-9)
nn(estimate-11, repair-10)
dobj(send-8, estimate-11)
prep_without(send-8, explanation-13)

=========

nsubj(interested-4, They-1)
cop(interested-4, are-2)
neg(interested-4, not-3)
root(ROOT-0, interested-4)
nn(feedback-7, customer-6)
prep_in(interested-4, feedback-7)
advmod(interested-4, at-8)
pobj(at-8, all-9)

=========

det(item-3, The-1)
amod(item-3, second-2)
nsubj(has-4, item-3)
xsubj(do-6, item-3)
root(ROOT-0, has-4)
aux(do-6, to-5)
xcomp(has-4, do-6)
det(fact-9, the-8)
prep_with(do-6, fact-9)
complm(located-15, that-10)
det(button-13, the-11)
nn(button-13, movie-12)
nsubjpass(located-15, button-13)
auxpass(located-15, is-14)
ccomp(do-6, located-15)
det(side-20, the-17)
amod(side-20, back-18)
nn(side-20, right-19)
prep_on(located-15, side-20)
det(right-24, the-22)
nn(right-24, camera-23)
prep_of(side-20, right-24)
advmod(goes-30, where-26)
poss(thumb-28, your-27)
nsubj(goes-30, thumb-28)
advmod(goes-30, normally-29)
prepc_near(right-24, goes-30)
advmod(gripping-32, when-31)
advcl(goes-30, gripping-32)
det(camera-34, the-33)
dobj(gripping-32, camera-34)

=========

nsubj(creates-2, This-1)
root(ROOT-0, creates-2)
det(situation-4, a-3)
dobj(creates-2, situation-4)
advmod(pressed-10, where-5)
det(button-7, the-6)
nsubjpass(pressed-10, button-7)
auxpass(pressed-10, gets-8)
advmod(pressed-10, inadvertantly-9)
rcmod(situation-4, pressed-10)
prep_on(pressed-10, occassion-12)

=========

nsubj(have-3, You-1)
xsubj(careful-6, You-1)
advmod(have-3, really-2)
root(ROOT-0, have-3)
aux(careful-6, to-4)
cop(careful-6, be-5)
xcomp(have-3, careful-6)
aux(not-8, to-7)
xcomp(careful-6, not-8)
aux(press-11, to-9)
advmod(press-11, accidently-10)
xcomp(not-8, press-11)
dobj(press-11, it-12)
amod(use-15, normal-14)
prep_during(press-11, use-15)

=========

nsubj(happens-3, It-1)
advmod(happens-3, especially-2)
root(ROOT-0, happens-3)
mark(pressed-9, because-4)
det(camera-6, the-5)
nsubjpass(pressed-9, camera-6)
nsubjpass(pressed-9', camera-6)
advmod(pressed-9, normally-7)
auxpass(pressed-9, gets-8)
advcl(happens-3, pressed-9)
advcl(happens-3, pressed-9')
conj_and(pressed-9, pressed-9')
poss(thumb-12, your-11)
prep_against(pressed-9, thumb-12)
amod(holding-15, normal-14)
prep_during(thumb-12, holding-15)
det(camera-18, the-17)
prep_of(holding-15, camera-18)
det(weight-20, the-19)
nsubj(pulls-24, weight-20)
det(camera-23, the-22)
prep_of(weight-20, camera-23)
rcmod(camera-18, pulls-24)
dobj(pulls-24, it-25)
advmod(pulls-24, downward-26)
det(left-30, the-29)
prep_to(pressed-9', left-30)
poss(thumb-34, your-33)
nsubj(prevents-36, thumb-34)
advmod(prevents-36, naturally-35)
conj_and(happens-3, prevents-36)
det(camera-38, the-37)
dobj(prevents-36, camera-38)
prepc_from(prevents-36, falling-40)
poss(grip-44, your-43)
prep_out_of(falling-40, grip-44)

=========

advmod(is-11, So-1)
cop(careful-4, being-3)
prepc_despite(is-11, careful-4)
det(button-8, the-6)
nn(button-8, movie-7)
prep_with(careful-4, button-8)
nsubj(is-11, it-10)
xsubj(press-18, it-10)
root(ROOT-0, is-11)
advmod(is-11, still-12)
advmod(is-11, way-13)
prep_to(way-13, easy-15)
aux(press-18, to-16)
advmod(press-18, accidently-17)
xcomp(is-11, press-18)
dobj(press-18, it-19)

=========

nsubj(believe-4, I-1)
aux(believe-4, can-2)
neg(believe-4, not-3)
root(ROOT-0, believe-4)
nsubj(figure-8, they-5)
aux(figure-8, did-6)
neg(figure-8, not-7)
ccomp(believe-4, figure-8)
dobj(figure-8, this-9)
prt(figure-8, out-10)
prep_during(figure-8, testing-12)

=========

det(photos-2, The-1)
nsubj(special-5, photos-2)
cop(special-5, are-3)
dep(special-5, nothing-4)
root(ROOT-0, special-5)
det(placement-8, the-7)
nsubj(makes-14, placement-8)
det(button-12, the-10)
nn(button-12, movie-11)
prep_of(placement-8, button-12)
advmod(makes-14, really-13)
conj_and(special-5, makes-14)
nsubj(hassle-17, it-15)
det(hassle-17, a-16)
xcomp(makes-14, hassle-17)
advmod(picture-21, quickly-19)
det(picture-21, a-20)
prep_to(hassle-17, picture-21)

=========

det(service-4, The-1)
amod(service-4, poor-2)
nn(service-4, customer-3)
nsubj(ensures-7, service-4)
prep_from(service-4, Olympus-6)
root(ROOT-0, ensures-7)
complm(buy-12, that-8)
nsubj(buy-12, I-9)
aux(buy-12, 'll-10)
neg(buy-12, never-11)
ccomp(ensures-7, buy-12)
prep_from(buy-12, them-14)
advmod(buy-12, again-15)

