=========

advmod(model-22, First-1)
cop(perfect-4, is-3)
root(ROOT-0, perfect-4)
attr(perfect-4, the-6)
advmod(came-14, when-7)
poss(guys-10, my-8)
nn(guys-10, cable-9)
nsubj(came-14, guys-10)
xsubj(connect-16, guys-10)
appos(guys-10, BrightHouse-12)
advcl(showed-24, came-14)
aux(connect-16, to-15)
xcomp(came-14, connect-16)
det(TV-18, the-17)
dobj(connect-16, TV-18)
det(cable-21, the-20)
prep_to(connect-16, cable-21)
nsubj(showed-24, they-23)
dep(the-6, showed-24)
dobj(showed-24, me-25)
advmod(operate-28, how-26)
aux(operate-28, to-27)
xcomp(showed-24, operate-28)
det(features-30, the-29)
dobj(operate-28, features-30)
poss(TV-34, my-32)
amod(TV-34, new-33)
prep_of(features-30, TV-34)

=========

nsubj(put-2, They-1)
nsubj(showed-13, They-1)
root(ROOT-0, put-2)
nn(data-5, registration-4)
prep_in(put-2, data-5)
poss(Fi-10, my-7)
nn(Fi-10, Wi-8)
prep_for(put-2, Fi-10)
conj_and(put-2, showed-13)
dobj(showed-13, my-14)
advmod(pull-17, how-15)
aux(pull-17, to-16)
xcomp(showed-13, pull-17)
advmod(pull-17, up-18)
dep(up-18, all-19)
poss(Apps-21, my-20)
dobj(pull-17, Apps-21)
appos(Apps-21, Netflix-23)
dep(Netflix-23, etc.-25)
amod(features-30, other-29)
nsubj(had-33, features-30)
det(TV-32, the-31)
dep(features-30, TV-32)
conj_and(put-2, had-33)

=========

cc(importantly-3, And-1)
nsubj(importantly-3, most-2)
root(ROOT-0, importantly-3)
advmod(use-7, when-5)
aux(use-7, to-6)
parataxis(importantly-3, use-7)
xcomp(importantly-3, use-7)
det(remote-9, the-8)
dobj(use-7, remote-9)
det(cable-12, the-11)
prep_for(use-7, cable-12)
det(remote-15, the-14)
prep_for(use-7, remote-15)
conj_and(cable-12, remote-15)
det(TV-18, the-17)
prep_for(use-7, TV-18)

=========

nsubj(fantastic-5, Picture-1)
conj_and(Picture-1, sound-3)
nsubj(fantastic-5, sound-3)
cop(fantastic-5, are-4)
root(ROOT-0, fantastic-5)

=========

det(TV-2, This-1)
nsubj(UN40ES6100-6, TV-2)
cop(UN40ES6100-6, is-3)
mwe(than-5, better-4)
quantmod(UN40ES6100-6, than-5)
root(ROOT-0, UN40ES6100-6)

=========

nsubj(happier-5, I-1)
aux(happier-5, could-2)
neg(happier-5, not-3)
cop(happier-5, be-4)
root(ROOT-0, happier-5)
advmod(happier-5, !!!-6)

